X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
6458.91,2405.14,2387.37
6472.22,2392.46,2374.68
6485.52,2379.77,2362
6498.82,2367.09,2349.32
6512.12,2354.41,2336.64
6525.43,2341.72,2323.95
6538.73,2329.53,2311.73
6552.03,2317.69,2299.85
6565.34,2305.85,2287.96
6578.64,2294,2276.08
6591.94,2282.16,2264.19
6605.25,2270.32,2252.3
6618.55,2258.48,2240.42
6631.85,2246.63,2228.53
6645.15,2234.79,2216.65
6658.46,2222.95,2204.76
6671.76,2211.83,2193.64
6685.06,2200.73,2182.54
6698.37,2189.64,2171.45
6711.67,2178.55,2160.36
6724.97,2167.45,2149.26
6738.27,2156.36,2138.17
6751.58,2145.27,2127.08
6764.88,2134.17,2115.98
6778.18,2123.08,2104.89
6791.49,2112.14,2093.95
6804.79,2101.85,2083.68
6818.09,2091.56,2073.42
6831.4,2081.27,2063.15
6844.7,2070.98,2052.88
6858,2060.69,2042.61
6871.3,2050.41,2032.35
6884.61,2040.12,2022.08
6897.91,2029.83,2011.81
6911.21,2019.54,2001.54
6924.51,2009.38,1991.4
6937.82,1999.74,1981.82
6951.12,1990.11,1972.24
6964.42,1980.48,1962.66
6977.73,1970.85,1953.08
6991.03,1961.22,1943.5
7004.33,1951.59,1933.92
7017.64,1941.95,1924.34
7030.94,1932.32,1914.76
7044.24,1922.69,1905.18
7057.54,1913.09,1895.63
7070.85,1904.11,1886.67
7084.15,1895.13,1877.71
7097.45,1886.15,1868.75
7110.76,1877.17,1859.79
7124.06,1868.19,1850.84
7137.36,1859.21,1841.88
7150.66,1850.23,1832.92
7163.97,1841.26,1823.96
7177.27,1832.28,1815
7190.57,1823.3,1806.04
7203.88,1814.73,1797.49
7217.18,1806.37,1789.15
7230.48,1798,1780.81
7243.79,1789.64,1772.46
7257.09,1781.28,1764.12
7270.39,1772.91,1755.77
7283.69,1764.55,1747.43
7297,1756.18,1739.09
7310.3,1747.82,1730.74
7323.6,1739.46,1722.4
7336.91,1731.13,1714.09
7350.21,1723.29,1706.28
7363.51,1715.45,1698.47
7376.81,1707.61,1690.66
7390.12,1699.78,1682.86
7403.42,1691.94,1675.05
7416.72,1684.1,1667.24
7430.03,1676.26,1659.43
7443.33,1668.42,1651.62
7456.63,1660.59,1643.81
7469.93,1652.75,1636
7483.24,1645.08,1628.36
7496.54,1637.77,1621.08
7509.84,1630.47,1613.81
7523.15,1623.16,1606.53
7536.45,1615.86,1599.25
7549.75,1608.55,1591.98
7563.05,1601.24,1584.7
7576.36,1593.94,1577.42
7589.66,1586.63,1570.14
7602.96,1579.33,1562.87
7616.27,1572.02,1555.59
7629.57,1564.9,1548.5
7642.87,1558.13,1541.76
7656.18,1551.36,1535.02
7669.48,1544.6,1528.28
7682.78,1537.83,1521.54
7696.08,1531.06,1514.8
7709.39,1524.29,1508.06
7722.69,1517.53,1501.32
7735.99,1510.76,1494.58
7749.3,1503.99,1487.84
7762.6,1497.22,1481.1
7775.9,1490.48,1474.39
7789.2,1484.14,1468.06
7802.51,1477.8,1461.74
7815.81,1471.46,1455.42
7829.11,1465.12,1449.1
7842.42,1458.78,1442.78
7855.72,1452.44,1436.45
7869.02,1446.1,1430.13
7882.32,1439.76,1423.81
7895.63,1433.42,1417.49
7908.93,1427.08,1411.17
7922.23,1420.74,1404.84
7935.54,1414.57,1398.69
7948.84,1408.49,1392.63
7962.14,1402.41,1386.58
7975.45,1396.34,1380.52
7988.75,1390.26,1374.46
8002.05,1384.21,1368.43
8015.35,1378.31,1362.56
8028.66,1372.41,1356.7
8041.96,1366.51,1350.83
8055.26,1360.6,1344.96
8068.56,1354.7,1339.09
