X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
3201.45,35.0703,0.134893,3023.17,3058.57,3023.17
3214.01,35.0087,0.135429,2993.82,3029.2,2993.82
3226.58,34.9471,0.135966,2964.48,2999.83,2964.48
3239.14,34.8856,0.136502,2935.13,2970.45,2935.13
3251.7,34.824,0.137039,2905.79,2941.08,2905.79
3264.26,34.7624,0.137586,2878.02,2913.02,2878.02
3276.82,34.7009,0.138134,2850.43,2885.11,2850.43
3289.38,34.6393,0.138682,2822.85,2857.2,2822.85
3301.94,34.5778,0.13923,2795.26,2829.29,2795.26
3314.5,34.5162,0.139779,2767.68,2801.39,2767.68
3327.06,34.4563,0.140314,2741.81,2775.46,2741.81
3339.62,34.3966,0.140849,2716.18,2749.8,2716.18
3352.18,34.337,0.141383,2690.55,2724.14,2690.55
3364.74,34.2773,0.141917,2664.93,2698.49,2664.93
3377.31,34.2176,0.142451,2639.3,2672.83,2639.3
3389.87,34.1566,0.142983,2614.67,2648.4,2614.69
3402.43,34.0951,0.143515,2590.47,2624.47,2590.52
3414.99,34.0335,0.144047,2566.26,2600.54,2566.34
3427.55,33.9719,0.144578,2542.06,2576.62,2542.16
3440.11,33.9104,0.14511,2517.85,2552.69,2517.98
3452.67,33.8496,0.145638,2494.57,2529.47,2494.73
3465.23,33.7899,0.146163,2472.41,2507.09,2472.59
3477.79,33.7301,0.146687,2450.24,2484.71,2450.46
3490.35,33.6704,0.147211,2428.08,2462.33,2428.32
3502.91,33.6106,0.147735,2405.92,2439.95,2406.19
3515.47,33.5511,0.148259,2383.8,2417.61,2384.09
3528.04,33.4971,0.148785,2362.63,2396.31,2362.81
3540.6,33.4444,0.149293,4520.51,4554.66,4520.6
3553.16,33.3851,0.14983,4479.97,4514.07,4480.04
3565.72,33.3259,0.150368,4439.44,4473.48,4439.48
3578.28,33.2666,0.150905,4398.9,4432.89,4398.91
3590.84,33.2081,0.151431,4360.52,4394.48,4360.53
3603.4,33.1501,0.151951,4323.42,4357.38,4323.46
3615.96,33.092,0.152471,4286.32,4320.29,4286.39
3628.52,33.034,0.15299,4249.23,4283.19,4249.32
3641.08,32.976,0.15351,4212.13,4246.1,4212.25
3653.64,32.918,0.154029,4175.18,4209.13,4175.33
3666.2,32.8616,0.15454,4140.94,4174.61,4141.09
3678.77,32.8051,0.15505,4106.69,4140.08,4106.84
3691.33,32.7487,0.155561,4072.45,4105.55,4072.6
3703.89,32.6923,0.156071,4038.21,4071.03,4038.35
3716.45,32.6358,0.156582,4003.96,4036.5,4004.11
3729.01,32.5856,0.157078,5002.77,5035.11,5002.91
3741.57,32.5289,0.157592,4962.17,4994.48,4962.31
3754.13,32.4721,0.158105,4921.57,4953.86,4921.72
3766.69,32.4154,0.158619,4880.97,4913.23,4881.12
3779.25,32.3586,0.159133,4840.37,4872.61,4840.52
3791.81,32.3019,0.159646,4799.77,4831.99,4799.92
3804.37,32.2448,0.160158,4760.58,4792.76,4760.72
3816.94,32.1874,0.160667,4722.74,4754.9,4722.89
3829.5,32.13,0.161176,4684.91,4717.04,4685.05
3842.06,32.0726,0.161685,4647.07,4679.18,4647.22
3854.62,32.0152,0.162194,4609.23,4641.32,4609.38
3867.18,31.9578,0.162703,4571.4,4603.46,4571.55
3879.74,31.9007,0.163206,4535.21,4567.23,4535.34
3892.3,31.8439,0.163704,4500.05,4532.02,4500.15
3904.86,31.787,0.164202,4464.88,4496.81,4464.97
3917.42,31.7301,0.1647,4429.72,4461.6,4429.78
3929.98,31.6733,0.165198,4394.56,4426.38,4394.59
3942.54,31.6164,0.165697,4359.39,4391.17,4359.4
3955.1,31.5604,0.166194,4325.15,4356.89,4325.17
3967.67,31.505,0.166691,4291.63,4323.33,4291.68
3980.23,31.4496,0.167189,4258.1,4289.77,4258.19
3992.79,31.3941,0.167686,4224.57,4256.2,4224.7
4005.35,31.3384,0.168179,4191.4,4223.02,4191.55
4017.91,31.2822,0.168666,4158.73,4190.34,4158.87
4030.47,31.227,0.169154,4590.15,4620.37,4590.28
4043.03,31.1727,0.16964,4555.13,4585.54,4555.24
4055.59,31.1185,0.170126,4520.11,4550.7,4520.2
