X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
8441.14,1.80781,1.58774
8450.56,1.8027,1.58291
8459.98,1.79758,1.57808
8469.4,1.79247,1.57325
8478.82,1.78736,1.56842
8488.24,1.78225,1.5636
8497.66,1.77713,1.55877
8507.08,1.77202,1.55394
8516.5,1.76691,1.54911
8525.91,1.7618,1.54428
8535.33,1.75669,1.53946
8544.75,1.75157,1.53463
8554.17,1.74646,1.5298
8563.59,1.74135,1.52497
8573.01,1.73655,1.52051
8582.43,1.73181,1.51612
8591.85,1.72707,1.51173
8601.27,1.72233,1.50734
8610.69,1.71759,1.50294
8620.11,1.71285,1.49855
8629.52,1.70811,1.49416
8638.94,1.70336,1.48976
8648.36,1.69862,1.48537
8657.78,1.69388,1.48098
8667.2,1.68914,1.47659
8676.62,1.6844,1.47219
8686.04,1.67966,1.4678
8695.46,1.67492,1.46341
8704.88,1.67018,1.45902
8714.3,1.66543,1.45462
8723.72,1.66069,1.45023
8733.13,1.65601,1.44588
8742.55,1.65172,1.44179
8751.97,1.64743,1.4377
8761.39,1.64314,1.43362
8770.81,1.63885,1.42953
8780.23,1.63456,1.42545
8789.65,1.63027,1.42136
8799.07,1.62598,1.41728
8808.49,1.62169,1.41319
8817.91,1.6174,1.4091
8827.33,1.61311,1.40502
8836.75,1.60882,1.40093
8846.17,1.60453,1.39685
8855.58,1.60024,1.39276
8865,1.59595,1.38868
8874.42,1.59166,1.38459
8883.84,1.58737,1.3805
8893.26,1.58308,1.37642
8902.68,1.57879,1.37233
8912.1,1.57476,1.36857
8921.52,1.57075,1.36483
